Player,Season,Weekly_Gross_EUR,Yearly_Gross_EUR,Position,Age
Maxence Caqueret,2024-2025,128269,6670000,M,24
Dele Alli,2024-2025,106923,5560000,F,28
Raphael Varane,2024-2025,106923,5560000,D,31
Andrea Belotti,2024-2025,53462,2780000,F,30
Luca Mazzitelli,2024-2025,49808,2590000,M,28
Sergi Roberto,2024-2025,42692,2220000,M,32
Alberto Dossena,2024-2025,35577,1850000,D,26
Maximo Perrone,2024-2025,35577,1850000,M,22
Emil Audero,2024-2025,32115,1670000,K,27
Simone Verdi,2024-2025,28462,1480000,F,32
Anastasios Douvikas,2024-2025,28462,1480000,F,25
Mergim Vojvoda,2024-2025,26731,1390000,D,30
Daniele Baselli,2024-2025,25000,1300000,M,32
Alberto Moreno,2024-2025,25000,1300000,D,32
Marc Oliver Kempf,2024-2025,21346,1110000,D,30
Jonathan Ikone,2024-2025,20962,1090000,F,26
Alberto Cerri,2024-2025,19615,1020000,F,28
Assane Diao,2024-2025,17885,930000,F,19
Yannik Engelhardt,2024-2025,17885,930000,M,23
Pepe Reina,2024-2025,17885,930000,K,42
Nico Paz,2024-2025,17885,930000,F,20
Jean Butez,2024-2025,17885,930000,K,29
Alieu Fadera,2024-2025,15962,830000,F,23
Alessandro Gabrielloni,2024-2025,15000,780000,F,30
Lucas da Cunha,2024-2025,14808,770000,M,23
Federico Barba,2024-2025,14231,740000,D,31
Gabriel Strefezza,2024-2025,14231,740000,F,27
Edoardo Goldaniga,2024-2025,14231,740000,D,31
Patrick Cutrone,2024-2025,12308,640000,F,27
Ivan Smolcic,2024-2025,10769,560000,D,24
Alex Valle,2024-2025,10769,560000,M,20
Matthias Braunoder,2024-2025,8846,460000,M,22
Ivan Azon,2024-2025,8846,460000,F,22
Ignace van der Brempt,2024-2025,8846,460000,D,22
Moutir Chajia,2024-2025,8846,460000,F,26
Marco Sala,2024-2025,5385,280000,D,25
Ben Lhassine Kone,2024-2025,5385,280000,M,24
Pierre Bolchini,2024-2025,3654,190000,K,25
Ali Jasim,2024-2025,3654,190000,F,20
Mauro Vigorito,2024-2025,3269,170000,K,34
Naj Razi,2024-2025,3269,170000,F,18
Giuseppe Mazzaglia,2024-2025,3269,170000,M,18
Fellipe Jack,2024-2025,2885,150000,D,19
Alessio Iovine,2024-2025,2885,150000,M,34
Peter Kovacik,2024-2025,0,0,M,22
Alvaro Morata,2025-2026,160192,8330000,F,32
Maxence Caqueret,2025-2026,128269,6670000,M,25
Diego Carlos,2025-2026,71154,3700000,D,32
Sergi Roberto,2025-2026,42692,2220000,M,33
Nicolas Kuhn,2025-2026,39231,2040000,F,25
Maximo Perrone,2025-2026,35577,1850000,M,22
Alberto Dossena,2025-2026,35577,1850000,D,26
Anastasios Douvikas,2025-2026,28462,1480000,F,26
Mergim Vojvoda,2025-2026,26731,1390000,D,30
Alberto Moreno,2025-2026,25000,1300000,D,33
Marc Oliver Kempf,2025-2026,21346,1110000,D,30
Jesus Rodriguez,2025-2026,21346,1110000,F,19
Alberto Cerri,2025-2026,19615,1020000,F,29
Stefan Posch,2025-2026,19231,1000000,D,28
Martin Baturina,2025-2026,17885,930000,M,22
Jean Butez,2025-2026,17885,930000,K,30
Nico Paz,2025-2026,17885,930000,F,20
Assane Diao,2025-2026,17885,930000,F,19
Edoardo Goldaniga,2025-2026,17885,930000,D,31
Jayden Addai,2025-2026,15962,830000,F,20
Lucas da Cunha,2025-2026,14808,770000,M,24
Alex Valle,2025-2026,10769,560000,D,21
Ivan Smolcic,2025-2026,10769,560000,D,25
Ignace van der Brempt,2025-2026,8846,460000,D,23
Nikola Cavlina,2025-2026,7115,370000,K,23
Peter Kovacik,2025-2026,7115,370000,D,22
Jacobo Ramon,2025-2026,5769,300000,D,20
Marco Sala,2025-2026,5385,280000,D,26
Mauro Vigorito,2025-2026,3269,170000,K,35
Henrique Menke,2025-2026,2500,130000,K,18
