Player,2025-2026_std_Pos,2025-2026_std_Age,2025-2026_std_Min,2025-2026_std_90s,2025-2026_poss_Att Pen,2025-2026_play_Min,2025-2026_play_90s
Jean Butez,GK,30-117,450.0,5.0,164.0,450.0,5.0
Álex Valle,DF,21-161,441.0,4.9,19.0,441.0,4.9
Nicolás Paz,MF,21-025,437.0,4.9,2.0,437.0,4.9
Marc-Oliver Kempf,DF,30-248,405.0,4.5,52.0,405.0,4.5
Jesus Rodríguez,FW,19-316,389.0,4.3,2.0,389.0,4.3
Máximo Perrone,MF,22-269,328.0,3.6,11.0,328.0,3.6
Jacobo Ramón,DF,20-270,312.0,3.5,29.0,312.0,3.5
Mërgim Vojvoda,"FW,DF",30-244,281.0,3.1,5.0,281.0,3.1
Lucas Da Cunha,MF,24-116,304.0,3.4,6.0,304.0,3.4
Anastasios Douvikas,FW,26-062,246.0,2.7,3.0,246.0,2.7
Nicolas-Gerrit Kühn,FW,25-275,212.0,2.4,0.0,212.0,2.4
Sergi Roberto,MF,33-238,184.0,2.0,3.0,184.0,2.0
Diego Carlos,DF,32-202,180.0,2.0,16.0,180.0,2.0
Álvaro Morata,FW,32-345,180.0,2.0,2.0,180.0,2.0
Ignace Van Der Brempt,DF,23-185,95.0,1.1,0.0,95.0,1.1
Ivan Smolčić,DF,25-047,175.0,1.9,6.0,175.0,1.9
Maxence Caqueret,MF,25-230,110.0,1.2,2.0,110.0,1.2
Stefan Posch,DF,28-142,99.0,1.1,1.0,99.0,1.1
Jayden Addai,FW,20-038,93.0,1.0,0.0,93.0,1.0
Martin Baturina,MF,22-229,16.0,0.2,0.0,16.0,0.2
Edoardo Goldaniga,DF,31-335,1.0,0.0,0.0,1.0,0.0
Ivan Azón,FW,22-283,,,,,
Nikola Čavlina,GK,23-123,,,,,
Alberto Cerri,FW,29-170,,,,,
Patrick Cutrone,FW,27-273,,,,,
Alessandro Gabrielloni,FW,31-085,,,,,
Fellipe Jack,DF,19-264,,,,,
Henrique Menke,GK,18-264,,,,,
Alberto Moreno,"DF,MF",33-090,,,,,
Mauro Vigorito,GK,35-134,,,,,
